Address,Town,ZipCode,Area,Price,Beds,Baths,Broker,latitude,longitude
104 1139 W Cordova Street, Vancouver,V9C 0A2,3788,7870000,4,5,Exp Realty,48.398,-123.5423
4868 Summit Lane, Whistler,V8E 1G4,4349,14995000,5,6,Whistler Real Estate Company Limited,48.4908,-123.4508
227 4800 Spearhead Drive, Whistler,V8E 1G1,790,1997000,2,2,RE/MAX Sea To Sky Real Estate,48.4908,-123.4508
24 4725 Spearhead Drive, Whistler,V8E 1E6,1353,1995000,3,2,Whistler Real Estate Company Limited,48.5024,-123.4639
30 8030 Nicklaus North Boulevard, Whistler,V8E 1J7,1722,2990000,3,3,Whistler Real Estate Company Limited,48.5024,-123.4639
8047 Nicklaus North Boulevard, Whistler,V8E 1J7,2990,5999900,4,4,Engel & Volkers Whistler,48.5024,-123.4639
506 4090 Whistler Way, Whistler,V8E 1J3,288,335000,0,1,Whistler Real Estate Company Limited,48.5024,-123.4639
8019 Nicklaus North Boulevard, Whistler,V8E 1J7,3097,5695000,5,6,RE/MAX Sea To Sky Real Estate,48.5024,-123.4639
8134 Muirfield Lane, Whistler,V8E 1J7,3105,5690000,4,4,Engel & Volkers Whistler,48.5024,-123.4639
8431 Golden Bear Place, Whistler,V8E 1J7,3375,5950000,5,4,Whistler Real Estate Company Limited,48.5024,-123.4639
414 4090 Whistler Way, Whistler,V8E 1J3,508,549000,1,1,Whistler Real Estate Company Limited,48.5024,-123.4639
309 4809 Spearhead Drive, Whistler,V8E 1E8,537,1099000,1,1,Sutton Group-West Coast Realty,48.5024,-123.4639
269 Reginald Hill Road, Salt Spring Island,V8K 1V7,2204,3333000,3,3,Sea To Sky Premier Properties,48.7673,-123.4392
176 Narrows West Road, Salt Spring Island,V8K 0A3,5178,13500000,4,6,Newport Realty (vreb),48.8167,-123.5089
109 Cranberry Road, Salt Spring Island,V8K 2G9,978,925000,2,1,Sotheby's International Realty Canada,48.8317,-123.4953
639 Dinner Bay Road, Mayne Island,V0N 2J2,1539,3500000,3,2,RE/MAX Mayne-Pender,48.838,-123.2877
370-400 Baker Road, Salt Spring Island,V8K 2N5,937,4230000,1,1,Royal Lepage Coast Capital - Chatterton (vreb),48.8688,-123.5292
2875 Southey Point Road, Salt Spring Island,V8K 1A2,4218,4950000,2,3,Sea To Sky Premier Properties,48.9317,-123.5879
195 Penfold Road, Galiano Island,V0N 1P0,1588,1495000,3,2,Gulfport Realty,48.9341,-123.4621
195 Penfold Road, Galiano Island,V0N 1P0,1588,1495000,3,2,Gulfport Realty,48.9341,-123.4621
76 Marina Drive, No City Value,V0R 2Y0,2852,2975000,1,2,Engel & Volkers Vancouver,48.9874,-123.6858
18771 8 Avenue, Surrey,V3S 9R9,3803,4500000,6,4,Exp Realty (branch),49.0022,-122.7289
23891 0 Avenue, Langley,V2Z 2X4,2107,2990000,2,1,Multiple Realty Ltd.,49.0024,-122.5653
121 210 Street, Langley,V2Z 2G6,2657,4199000,3,3,Royal Lepage - Wolstencroft,49.0025,-122.6414
220 Townline Road, Abbotsford,V2T 6C9,970,3277661,1,1,Century 21 Coastal Realty Ltd.,49.0025,-122.3602
214 3665 244 Street, Langley,V2Z 1N1,1152,460000,2,2,Royal Lepage - Wolstencroft,49.0028,-122.548
186 3665 244 Street, Langley,V2Z 1N1,1158,419900,3,2,Sutton Group-West Coast Realty (langley),49.0028,-122.548
178 3665 244 Street, Langley,V2Z 1N1,1462,435000,2,2,One Percent Realty Ltd.,49.0028,-122.548
19 50 Street, Delta,V4M 2S5,1694,1339000,3,2,Sutton Group Seafair Realty,49.004,-123.0849
170 Tsawwassen Beach Road, Delta,V4M 2J2,2418,2800000,4,3,Stonehaus Realty Corp.,49.0056,-123.0905
21326 2nd Avenue, Langley,V2Z 1S4,5277,3899000,7,6,Sotheby's International Realty Canada,49.0057,-122.6353
494 Sumas Way, Abbotsford,V2S 8E5,2485,4850000,4,3,Lighthouse Realty Ltd.,49.006,-122.2666
348 52 Street, Delta,V4M 2Y4,2705,1499000,4,3,RE/MAX Real Estate Services,49.0064,-123.0799
325 54 Street, Delta,V4M 3G6,2488,1498000,5,3,RE/MAX City Realty,49.0065,-123.0741
353 55 Street, Delta,V4M 3J4,6061,3488000,7,7,Sutton Group Seafair Realty,49.0069,-123.0714
364 54a Street, Delta,V4M 3J3,2132,1738000,4,2,Regent Park Fairchild Realty Inc.,49.0072,-123.0728
364 54a Street, Delta,V4M 3J3,2132,1738000,4,2,Regent Park Fairchild Realty Inc.,49.0072,-123.0728
19870 3b Avenue, Langley,V2Z 0A2,13289,7200000,8,11,Angell,49.0073,-122.672
34 17516 4 Avenue, Surrey,V3S 0R9,1159,819000,2,2,Royal Lepage Northstar Realty (s. Surrey),49.0094,-122.7378
25122 4 Avenue, Langley,V4W 2H3,5642,2799000,5,5,Royal Lepage - Wolstencroft,49.0094,-122.5038
687 204 Street, Langley,V2Z 1V5,9232,10588000,7,8,Macdonald Realty,49.0095,-122.658
536 256 Street, Langley,V4W 2H8,2130,2598800,3,2,RE/MAX All Points Realty,49.0102,-122.5148
645 English Bluff Road, Delta,V4M 2M9,5225,3599800,5,5,RE/MAX City Realty,49.0107,-123.0907
667 English Bluff Road, Delta,V4M 2M9,7493,4688800,5,6,The Firm Real Estate Services Ltd.,49.0107,-123.0907
5368 4a Avenue, Delta,V4M 1H5,2647,1848000,4,3,Sutton Group Seafair Realty,49.0109,-123.0771
1615 Robinson Road, Columbia Valley,V2R 4X7,2000,7490000,5,3,Royal Pacific Riverside Realty Ltd.,49.0121,-122.0424
558 248 Street, Langley,V4W 2H2,12367,12898000,5,7,Behroyan & Associates Real Estate Services,49.0127,-122.5369
462 248 Street, Langley,V4W 2H2,3555,7380000,4,4,Luxmore Realty,49.0127,-122.5369
652 English Bluff Road, Delta,V4M 2N4,8111,5888000,8,8,Sutton Group-West Coast Realty,49.014,-123.0918
2975 53 Street, Delta,V4L 2N5,2538,5950000,3,2,RE/MAX Real Estate Services,49.0141,-123.0769
5506 6a Avenue, Delta,V4M 1P6,2087,1299000,3,3,Nu Stream Realty Inc.,49.0143,-123.0731
532 Tsawwassen Beach Road, Delta,V4M 4C7,2264,5600000,4,2,Royal Pacific Realty Corp.,49.0158,-123.0938
598 Tsawwassen Beach Road, Delta,V4M 4C7,2820,5498000,3,3,Sutton Group Seafair Realty,49.0158,-123.0938
321 248 Street, Langley,V4W 2C2,2511,7480000,4,3,Nu Stream Realty Inc.,49.0161,-122.5371
782 264 Street, Langley,V4W 2M8,3353,2998000,4,4,RE/MAX Little Oak Realty (abbotsford),49.0161,-122.4927
271 248 Street, Langley,V4W 2C2,4666,3388000,5,3,B.C. Farm & Ranch Realty Corp.,49.0161,-122.5371
312 15875 Marine Drive, White Rock,V4B 5J2,1003,675000,2,2,Stonehaus Realty Corp.,49.0166,-122.7819
9 15971 Marine Drive, White Rock,V4B 1G1,1246,725000,2,2,Exp Realty (branch),49.0166,-122.7805
9 15971 Marine Drive, White Rock,V4B 1G1,1246,725000,2,2,Exp Realty (branch),49.0166,-122.7805
31964 Huntingdon Road, Abbotsford,V2T 6B8,2450,5299999,5,3,Planet Group Realty Inc.,49.0166,-122.3494
780 Gilchrist Place, Delta,V4M 3L7,2634,1679000,5,3,RE/MAX City Realty,49.0166,-123.07
658 200 Street, Langley,V2Z 1V9,4936,16980000,3,12,Angell,49.0166,-122.6688
32550 Huntingdon Road, Abbotsford,V2T 5Z1,2944,5997000,5,3,Exp Realty (branch),49.0167,-122.3262
828 Habgood Street, White Rock,V4B 4W3,3987,2980000,7,6,Hugh & McKinnon Realty Ltd.,49.0167,-122.7819
948 Tsawwassen Beach Road, Delta,V4M 2J3,4001,2999000,5,5,RE/MAX City Realty,49.0167,-123.094
948 Tsawwassen Beach Road, Delta,V4M 2J3,4001,2999000,5,5,RE/MAX City Realty,49.0167,-123.094
1061 216 Street, Langley,V2Z 1R3,4702,5299000,3,5,RE/MAX Blueprint Realty,49.0167,-122.6252
952 164 Street, Surrey,V4A 4Y5,5759,2848800,7,5,RE/MAX All Points Realty,49.0167,-122.7683
906 164 Street, White Rock,V4A 4Y5,6268,2995000,8,7,RE/MAX 2000 Realty,49.0167,-122.7683
33695 Vye Road, Abbotsford,V2S 8B1,8262,10500000,10,8,Lighthouse Realty Ltd.,49.0168,-122.2884
302 3043 270 Street, Langley,V4X 1A8,1206,549000,3,2,Sutton Group-West Coast Realty (abbotsford),49.0169,-122.4458
28215 Huntingdon Road, Abbotsford,V4X 1A8,2576,3200000,3,1,Luxmore Realty,49.0169,-122.4458
886 English Bluff Road, Delta,V4M 2N5,4406,2790000,6,6,Nu Stream Realty Inc.,49.0177,-123.0909
15474 Victoria Avenue, White Rock,V4B 1H5,4211,3249000,9,7,Coldwell Banker Universe Realty,49.0183,-122.7929
1705 3150 Gladwin Road, Abbotsford,V2T 5S9,1369,799900,2,2,RE/MAX Little Oak Realty (abbotsford),49.0184,-122.315
880 Gale Drive, Tsawwassen,V4M 2P5,2620,1200000,4,2,Royal Lepage - Wolstencroft,49.0193,-123.0881
1215 Pacific Drive, Delta,V4M 2K2,7918,3199900,4,4,The Firm Real Estate Services Ltd.,49.0195,-123.0917
1215 Pacific Drive, Delta,V4M 2K2,7918,3199900,4,4,The Firm Real Estate Services Ltd.,49.0195,-123.0917
25909 10 Avenue, Langley,V4W 2J5,2229,4879000,3,2,Macdonald Realty,49.0197,-122.5148
15548 Royal Avenue, White Rock,V4B 1N6,3224,3500000,5,2,Homelife Benchmark Realty Corp. (white Rock),49.02,-122.7922
1051 Parker Street, White Rock,V4B 4R6,2409,1329000,3,2,RE/MAX 2000 Realty,49.0203,-122.786
1080 Ewson Street, White Rock,V4B 4V4,5032,2999000,5,6,RE/MAX Colonial Pacific Realty,49.0203,-122.7841
15493 Royal Avenue, White Rock,V4B 1N4,6809,6999000,6,7,Nu Stream Realty Inc.,49.0206,-122.794
1055 Fir Street, White Rock,V4B 5C7,2370,1998000,4,2,Macdonald Realty (surrey/152),49.0208,-122.8007
1458 248 Street, Langley,V4W 2G2,3596,6800000,5,4,Oakwyn Realty Encore,49.0208,-122.5371
1051 Lee Street, White Rock,V4B 4P2,5873,2988000,6,6,Macdonald Platinum Marketing Ltd.,49.0211,-122.7874
15388 Royal Avenue, White Rock,V4B 1M8,6703,4250000,5,7,Pacific Evergreen Realty Ltd.,49.0217,-122.7977
1353 160a Street, Surrey,V4A 7T7,2147,1469000,4,3,Exp Realty (branch),49.0224,-122.7774
1353 160a Street, Surrey,V4A 7T7,2147,1469000,4,3,Exp Realty (branch),49.0224,-122.7774
15288 Royal Avenue, White Rock,V4B 1M6,4662,3250000,5,6,Engel & Volkers Vancouver,49.0224,-122.7996
15338 Pacific Avenue, White Rock,V4B 1R2,6016,3688000,6,8,Hugh & McKinnon Realty Ltd.,49.0225,-122.7966
402 14955 Victoria Avenue, White Rock,V4B 1G2,1101,964800,2,2,Macdonald Realty (surrey/152),49.0226,-122.8079
15031 Victoria Avenue, White Rock,V4B 1G2,6017,4998000,5,7,RE/MAX Colonial Pacific Realty,49.0226,-122.8079
800 Columbia Valley Road, Columbia Valley,V2R 4X6,3064,1900000,4,3,B.C. Farm & Ranch Realty Corp.,49.0229,-122.0526
24675 16 Avenue, Langley,V2Z 1J4,5305,3490000,4,4,B.C. Farm & Ranch Realty Corp.,49.0232,-122.5395
1265 Stayte Road, White Rock,V4B 4Z1,6594,4299999,7,7,RE/MAX Colonial Pacific Realty,49.0239,-122.7793
16428 12 Avenue, Surrey,V4A 9H6,2460,1649000,4,2,RE/MAX Colonial Pacific Realty,49.0241,-122.7673
Ph2 15152 Russell Avenue, White Rock,V4B 0A3,2379,3999900,2,4,Exp Realty,49.0244,-122.8126
1228 Everall Street, White Rock,V4B 3S3,5603,5998900,5,7,Macdonald Realty (surrey/152),49.0244,-122.8094
1105 15152 Russell Avenue, White Rock,V4B 0A3,509,475000,2,1,Hugh & McKinnon Realty Ltd.,49.0244,-122.8126
306 1280 Merklin Street, White Rock,V4B 4B9,967,599999,2,2,RE/MAX Treeland Realty,49.0244,-122.7973
5000 Cliff Drive, Delta,V4M 2C3,3600,3155555,4,3,Sutton Group Seafair Realty,49.0248,-123.0856
14631 West Beach Avenue, White Rock,V4B 2T9,4420,4300000,4,5,Hugh & McKinnon Realty Ltd.,49.0249,-122.815
